,q0001,q0002,q0004_0001,q0004_0002,q0004_0003,q0004_0004,q0004_0005,q0004_0006,q0005,q0007_0001,q0007_0002,q0007_0003,q0007_0004,q0007_0005,q0007_0006,q0007_0007,q0007_0008,q0007_0009,q0007_0010,q0007_0011,q0008_0001,q0008_0002,q0008_0003,q0008_0004,q0008_0005,q0008_0006,q0008_0007,q0008_0008,q0008_0009,q0008_0010,q0008_0011,q0008_0012,q0009,q0010_0001,q0010_0002,q0010_0003,q0010_0004,q0010_0005,q0010_0006,q0010_0007,q0010_0008,q0011_0001,q0011_0002,q0011_0003,q0011_0004,q0011_0005,q0012_0001,q0012_0002,q0012_0003,q0012_0004,q0012_0005,q0012_0006,q0012_0007,q0013,q0014,q0015,q0017,q0018,q0019_0001,q0019_0002,q0019_0003,q0019_0004,q0019_0005,q0019_0006,q0019_0007,q0020_0001,q0020_0002,q0020_0003,q0020_0004,q0020_0005,q0020_0006,q0021_0001,q0021_0002,q0021_0003,q0021_0004,q0022,q0024,q0025_0001,q0025_0002,q0025_0003,q0026,q0028,q0029,q0030,q0034,q0035,q0036,racethn4,educ4,age3,kids,orientation,weight
17,Somewhat masculine,Not too important,1,0,0,1,0,0,Yes,Sometimes,Often,Rarely,Sometimes,Rarely,Sometimes,"Never, but open to it",Rarely,Sometimes,Often,Often,0,1,0,1,0,0,0,1,1,1,1,0,"Employed, working full-time",0,0,0,0,0,0,None of the above,Other (please specify),0,Greater risk of being accused of sexual harassment,0,0,0,0,0,0,0,0,Never witnessed sexual harassment,0,0,Some,No,Yes,Sometimes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Married,1,0,0,Bisexual,White,Post graduate degree,Minnesota,"$50,000-$74,999",West North Central,Windows Desktop / Laptop,White,Post graduate degree,35 - 64,1,Gay/Bisexual,0.105632571
18,Somewhat masculine,Not too important,1,0,1,1,0,0,Yes,"Never, but open to it",Rarely,Rarely,Sometimes,"Never, and not open to it",Often,"Never, and not open to it",Often,"Never, but open to it","Never, but open to it",Sometimes,0,0,0,0,0,0,1,0,1,1,0,0,"Employed, working full-time",0,0,0,0,0,0,None of the above,0,0,0,0,None of the above,0,0,0,0,0,0,Never witnessed sexual harassment,0,0,A lot,No,No,Often,0,0,You feel good about being the one who pays,0,"You asked the person out, so you feel obligated to pay",0,0,0,0,0,1,1,1,0,0,0,1,0,Married,0,0,1,Straight,White,College graduate,Kansas,"$100,000-$124,999",West North Central,Windows Desktop / Laptop,White,College or more,35 - 64,0,Straight,0.7169073509999999
19,Very masculine,Somewhat important,0,1,0,0,0,0,No,Sometimes,Sometimes,"Never, but open to it",No answer,"Never, and not open to it",Often,"Never, and not open to it",Often,Sometimes,"Never, but open to it","Never, but open to it",0,0,0,0,0,0,0,0,0,0,0,1,"Employed, working part-time",0,0,0,0,0,0,None of the above,0,0,Greater risk of being accused of sexual harassment,Greater risk of being accused of being sexist or racist,0,0,0,0,0,0,0,Never witnessed sexual harassment,0,0,Some,No,No,Often,It?s the right thing to do,0,0,0,"You asked the person out, so you feel obligated to pay",0,0,0,0,0,1,0,0,0,0,0,1,0,Widowed,0,1,0,Straight,White,College graduate,Florida,"$50,000-$74,999",South Atlantic,Windows Desktop / Laptop,White,College or more,65 and up,1,Straight,0.5124084210000001
20,Somewhat masculine,Somewhat important,1,0,0,0,0,0,No,"Never, but open to it","Never, but open to it","Never, and not open to it",Rarely,"Never, but open to it",Sometimes,"Never, and not open to it",Often,Often,"Never, and not open to it","Never, and not open to it",0,0,0,0,0,0,0,0,1,1,0,0,"Not employed, looking for work",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Always,0,0,You feel good about being the one who pays,0,"You asked the person out, so you feel obligated to pay",0,0,0,0,0,1,0,0,0,0,0,1,0,Never married,0,0,1,Straight,Black,High school or G.E.D.,California,"$10,000-$24,999",Pacific,Windows Desktop / Laptop,Black,High school or less,35 - 64,0,Straight,2.632241555
21,Not very masculine,Somewhat important,1,1,1,1,1,0,No,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,"Never, and not open to it",Often,"Never, but open to it","Never, and not open to it",Rarely,0,1,0,0,0,0,1,1,1,0,0,0,Not employed-retired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Sometimes,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,Divorced,0,0,1,Straight,Black,Some college,Oregon,"$10,000-$24,999",Pacific,Other,Black,Some college,65 and up,0,Straight,0.8699910959999999
22,Somewhat masculine,Somewhat important,0,0,1,0,1,0,Yes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,"Never, and not open to it","Never, and not open to it",Often,Often,Rarely,Rarely,0,1,0,1,0,0,0,0,1,1,1,0,"Employed, working full-time",Men make more money,Men are taken more seriously,0,0,0,0,0,0,0,0,Greater risk of being accused of being sexist or racist,0,0,0,0,0,0,Did not respond at all,0,0,You weren?t sure it was sexual harassment,A lot,No,Yes,Often,0,You make more money than your date,0,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",0,0,1,0,1,1,1,0,0,0,0,1,0,Married,1,0,0,Straight,White,Post graduate degree,Utah,Prefer not to answer,Mountain,Windows Desktop / Laptop,White,Post graduate degree,35 - 64,1,Straight,0.019744451
23,Somewhat masculine,Not too important,1,0,0,0,0,0,No,Sometimes,Sometimes,"Never, but open to it",Rarely,"Never, and not open to it",Often,"Never, and not open to it",Sometimes,Sometimes,"Never, but open to it",Sometimes,0,1,0,1,0,0,0,0,1,0,1,0,"Employed, working full-time",Men make more money,0,0,Men have more promotion/professional development opportunities,0,0,0,0,0,Greater risk of being accused of sexual harassment,Greater risk of being accused of being sexist or racist,0,0,0,0,0,0,0,Never witnessed sexual harassment,0,0,Some,Yes,Yes,Sometimes,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Married,0,1,0,Straight,White,College graduate,Kansas,"$125,000-$149,999",West North Central,MacOS Desktop / Laptop,White,College or more,35 - 64,1,Straight,0.695610733
24,Very masculine,Somewhat important,1,0,0,0,0,0,No,Often,Often,Sometimes,Often,Rarely,Often,"Never, and not open to it",Sometimes,Sometimes,"Never, and not open to it",Sometimes,0,0,0,0,0,0,0,0,0,1,1,0,"Employed, working full-time",0,0,0,0,0,0,None of the above,0,0,Greater risk of being accused of sexual harassment,Greater risk of being accused of being sexist or racist,0,0,0,0,0,0,0,Never witnessed sexual harassment,0,0,A lot,Yes,No,Sometimes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Married,0,1,0,Straight,White,College graduate,Texas,"$25,000-$49,999",West South Central,Windows Desktop / Laptop,White,College or more,35 - 64,1,Straight,0.515567485
25,Very masculine,Not too important,1,0,0,0,0,0,No,Sometimes,Sometimes,Sometimes,Sometimes,"Never, and not open to it",Sometimes,"Never, and not open to it",Often,Sometimes,"Never, but open to it",Sometimes,0,0,0,0,0,0,0,0,0,0,0,1,Not employed-retired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Often,0,0,0,0,"You asked the person out, so you feel obligated to pay",0,0,1,0,0,1,1,0,0,0,0,1,0,Married,0,0,1,Straight,White,Post graduate degree,Michigan,"$100,000-$124,999",East North Central,Windows Desktop / Laptop,White,Post graduate degree,65 and up,0,Straight,0.059086640999999995
26,Somewhat masculine,Not too important,0,1,1,0,1,0,Yes,"Never, but open to it","Never, but open to it","Never, and not open to it",Sometimes,"Never, and not open to it",No answer,"Never, and not open to it",Sometimes,Rarely,"Never, and not open to it",Sometimes,0,1,0,1,0,0,0,0,1,0,0,0,"Employed, working full-time",0,0,0,0,0,0,None of the above,0,0,Greater risk of being accused of sexual harassment,0,0,0,0,0,0,0,0,Never witnessed sexual harassment,0,0,A lot,Yes,Yes,Always,It?s the right thing to do,0,You feel good about being the one who pays,0,"You asked the person out, so you feel obligated to pay",0,0,0,0,0,1,1,0,0,0,0,1,0,Married,0,1,0,Straight,White,Post graduate degree,New Jersey,"$200,000+",Middle Atlantic,Windows Desktop / Laptop,White,Post graduate degree,65 and up,1,Straight,0.06942877
27,Not very masculine,Somewhat important,0,0,1,0,0,1,Yes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Often,"Never, and not open to it",Often,Often,"Never, but open to it",Rarely,0,1,0,1,1,0,1,1,1,1,1,0,Not employed-retired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Always,0,0,0,0,"You asked the person out, so you feel obligated to pay",0,0,0,0,0,0,1,0,1,0,0,0,1,Married,0,1,0,Straight,White,College graduate,Texas,"$25,000-$49,999",West South Central,Windows Desktop / Laptop,White,College or more,65 and up,1,Straight,0.484545451
28,Not at all masculine,Not at all important,0,0,1,0,1,0,Yes,Sometimes,Often,Sometimes,Sometimes,"Never, and not open to it","Never, and not open to it","Never, and not open to it",Sometimes,Often,Sometimes,Sometimes,0,0,0,0,0,0,0,0,0,1,0,0,"Not employed, NOT looking for work",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Never,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Widowed,0,1,0,Straight,White,Some college,Texas,"$10,000-$24,999",West South Central,Windows Desktop / Laptop,White,Some college,65 and up,1,Straight,0.600430108
29,Very masculine,Somewhat important,0,0,0,0,1,1,Yes,Rarely,Rarely,Rarely,Rarely,"Never, but open to it",Often,"Never, and not open to it",Rarely,Often,"Never, and not open to it",Sometimes,0,1,0,0,0,0,0,0,0,0,0,0,Not employed-retired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Always,0,0,You feel good about being the one who pays,0,"You asked the person out, so you feel obligated to pay",0,0,1,0,0,1,1,0,0,0,0,1,0,Married,0,1,0,Straight,White,Post graduate degree,New York,"$150,000-$174,999",Middle Atlantic,MacOS Desktop / Laptop,White,Post graduate degree,65 and up,1,Straight,0.069031279
30,Not very masculine,Somewhat important,1,1,0,0,0,0,No,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,"Never, and not open to it",Sometimes,Often,"Never, and not open to it",Sometimes,0,1,1,1,1,0,1,0,0,0,0,0,Not employed-retired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Often,0,You make more money than your date,You feel good about being the one who pays,0,"You asked the person out, so you feel obligated to pay",0,0,1,0,0,0,1,0,0,0,0,1,0,Married,0,0,1,Straight,White,Post graduate degree,Utah,"$100,000-$124,999",Mountain,Windows Desktop / Laptop,White,Post graduate degree,65 and up,0,Straight,0.019744451
31,Somewhat masculine,Somewhat important,1,0,0,0,1,0,No,"Never, but open to it",Rarely,Rarely,Rarely,Rarely,Often,"Never, and not open to it",Often,Rarely,"Never, and not open to it","Never, and not open to it",0,0,0,0,0,0,0,0,0,0,0,1,"Employed, working full-time",0,0,0,0,0,0,None of the above,0,0,0,0,None of the above,0,0,0,0,0,0,Never witnessed sexual harassment,0,0,Some,No,Yes,Always,It?s the right thing to do,0,0,0,"You asked the person out, so you feel obligated to pay",0,0,1,0,0,1,0,0,0,0,0,1,0,Married,1,1,0,Straight,White,Some college,Texas,"$75,000-$99,999",West South Central,Windows Desktop / Laptop,White,Some college,35 - 64,1,Straight,0.6205287420000001
32,Somewhat masculine,Somewhat important,0,0,0,0,1,0,Yes,Often,Rarely,Often,Sometimes,Rarely,Rarely,"Never, and not open to it",Sometimes,Often,"Never, and not open to it",Sometimes,0,1,0,0,0,0,1,0,0,0,0,0,"Not employed, looking for work",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Sometimes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Never married,0,0,1,Straight,Other,High school or G.E.D.,Pennsylvania,"$0-$9,999",Middle Atlantic,Android Phone / Tablet,Other,High school or less,18 - 34,0,Straight,5.928646721000001
33,Not very masculine,Not too important,1,0,0,0,0,0,No,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,"Never, and not open to it","Never, and not open to it",Rarely,"Never, and not open to it",Sometimes,0,0,0,0,0,0,0,0,0,1,0,0,Not employed-retired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Always,It?s the right thing to do,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Never married,0,1,0,Straight,White,Did not complete high school,California,Prefer not to answer,Pacific,Android Phone / Tablet,White,High school or less,35 - 64,1,Straight,2.05030667
34,Somewhat masculine,Somewhat important,0,0,0,0,0,1,Yes,"Never, but open to it",Rarely,Often,Sometimes,Rarely,Rarely,"Never, and not open to it",Rarely,Often,Rarely,Sometimes,0,0,0,0,0,0,0,0,0,0,0,1,Not employed-retired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Often,0,0,0,0,0,0,Other (please specify),0,0,1,0,0,0,0,0,0,1,0,Never married,0,0,1,Straight,White,Post graduate degree,Washington,"$75,000-$99,999",Pacific,Windows Desktop / Laptop,White,Post graduate degree,65 and up,0,Straight,0.019744451
35,Very masculine,Somewhat important,1,1,1,0,1,0,No,Rarely,Rarely,Rarely,Rarely,Rarely,Often,"Never, and not open to it",Often,Sometimes,"Never, and not open to it",Rarely,0,1,0,0,0,0,0,0,1,0,0,0,"Employed, working full-time",0,0,0,0,0,0,None of the above,0,Managers want to hire and promote women,Greater risk of being accused of sexual harassment,Greater risk of being accused of being sexist or racist,0,0,0,0,0,0,0,Never witnessed sexual harassment,0,0,A lot,No,Yes,Always,0,0,0,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",0,0,1,0,0,1,1,0,0,0,0,1,0,Married,0,1,0,Straight,White,College graduate,South Dakota,"$100,000-$124,999",East North Central,Windows Desktop / Laptop,White,College or more,35 - 64,1,Straight,0.8445780209999999
36,Somewhat masculine,Somewhat important,1,1,1,1,1,0,Yes,Rarely,Rarely,Sometimes,Rarely,"Never, but open to it",Rarely,"Never, and not open to it",Often,Rarely,"Never, but open to it",Sometimes,0,1,0,1,0,0,1,0,1,1,0,0,"Employed, working full-time",Men make more money,Men are taken more seriously,Men have more choice,Men have more promotion/professional development opportunities,0,Men generally have more support from their managers,0,0,0,Greater risk of being accused of sexual harassment,0,0,0,Confronted the accused person,Contacted the HR department,0,Reached out to the victim to offer support,0,0,0,0,Some,No,No,Often,It?s the right thing to do,0,0,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",0,0,1,0,1,1,1,0,0,0,0,1,0,Widowed,0,1,0,Straight,White,High school or G.E.D.,Minnesota,"$25,000-$49,999",West North Central,Windows Desktop / Laptop,White,High school or less,35 - 64,1,Straight,2.193249238
37,Somewhat masculine,Not too important,1,0,1,0,1,0,No,Rarely,Rarely,Sometimes,Rarely,"Never, and not open to it",Rarely,"Never, but open to it","Never, and not open to it","Never, but open to it","Never, but open to it",Sometimes,0,1,0,0,0,0,1,0,1,1,1,0,"Employed, working part-time",0,0,0,Men have more promotion/professional development opportunities,0,0,0,0,0,0,0,None of the above,0,0,0,0,0,0,Never witnessed sexual harassment,0,0,Some,No,No,Sometimes,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,Widowed,0,1,0,Straight,White,Some college,Washington,"$75,000-$99,999",Pacific,Windows Desktop / Laptop,White,Some college,35 - 64,1,Straight,0.49093909
